Timestamp,Position X,Position Y,Altitude,Speed,Direction
1539284267,10.760902,78.709442,0,0,271
1539284532,10.760899,78.709442,0,0,180
1539284683,10.760899,78.709442,0,0,180
1539284823,10.760899,78.709442,0,0,180
1539284887,10.760891,78.709427,0,0,232
1539285094,10.760899,78.709442,0,0,180
1539286627,10.760945,78.709526,0,2,60
1539286658,10.761097,78.709763,0,2,62
1539286703,10.761213,78.710106,0,2,104
1539286930,10.761189,78.710152,0,11,314
1539286943,10.761493,78.709969,0,17,328
1539286957,10.7619,78.709732,0,22,329
1539286965,10.762253,78.709526,0,26,329
1539286971,10.76255,78.709343,0,28,329
1539286982,10.763145,78.708992,0,30,329
1539286990,10.763443,78.708817,0,29,331
1539286996,10.763741,78.708649,0,29,331
1539287003,10.764088,78.708595,0,30,5
1539287020,10.765205,78.708885,0,33,14
1539287026,10.765508,78.709114,0,31,53
1539287033,10.765583,78.709473,0,30,84
1539287042,10.765617,78.71003,0,31,84
1539287048,10.76564,78.710411,0,33,87
1539287057,10.765686,78.710991,0,16,84
1539287069,10.765787,78.712189,0,20,84
1539287076,10.765821,78.712715,0,20,87
1539287089,10.765915,78.713898,0,20,84
1539287100,10.766006,78.715073,0,20,84
1539287108,10.766064,78.715813,0,20,84
1539287122,10.766171,78.717163,0,20,87
1539287136,10.766281,78.718613,0,20,84
1539287145,10.766322,78.7192,0,20,84
1539287157,10.766418,78.720329,0,19,84
1539287171,10.766533,78.721802,0,20,84
1539287183,10.766613,78.7229,0,18,84
1539287204,10.766753,78.724594,0,17,84
1539287210,10.766799,78.725098,0,18,84
1539287220,10.766857,78.725983,0,18,84
1539287229,10.766915,78.726677,0,16,87
1539287241,10.766962,78.727425,0,26,92
1539287249,10.766788,78.727844,0,28,115
1539287255,10.766695,78.728149,0,27,98
1539287268,10.766823,78.728653,0,21,30
1539287276,10.767044,78.728592,0,20,323
1539287315,10.766951,78.72718,0,47,264
1539287321,10.766808,78.725281,0,76,264
1539287334,10.766322,78.719162,0,125,264
1539287340,10.766043,78.715706,0,135,267
1539287351,10.765333,78.706985,0,150,264
1539287363,10.764404,78.697906,625,161,263
1539287369,10.763855,78.693138,750,165,263
1539287376,10.763351,78.688629,925,167,263
1539287388,10.762319,78.679024,1275,169,264
1539287394,10.761853,78.674255,1500,170,263
1539287404,10.760643,78.664375,1775,179,264
1539287410,10.760224,78.659119,1875,190,265
1539287417,10.759805,78.653244,2000,200,267
1539287438,10.765251,78.635803,2350,227,307
1539287445,10.772513,78.629196,2775,230,325
1539287451,10.778333,78.626259,3050,235,337
1539287457,10.784757,78.624428,3250,242,348
1539287463,10.791321,78.623512,3475,246,353
1539287469,10.798909,78.622787,3775,250,354
1539287476,10.806107,78.622139,4050,251,354
1539287485,10.816315,78.621147,4550,250,354
1539287497,10.830379,78.619751,5225,248,354
1539287510,10.84453,78.618408,5925,245,356
1539287530,10.868637,78.621384,7075,242,8
1539287538,10.87532,78.622429,7400,241,8
1539287549,10.889008,78.624512,8075,239,8
1539287562,10.902557,78.62664,8725,237,8
1539287573,10.915801,78.628716,9375,236,8
1539287585,10.929395,78.630882,9950,239,9
1539287597,10.942616,78.633003,10475,241,9
1539287610,10.956348,78.635124,10750,253,8
1539287622,10.971359,78.637108,11175,260,4
1539287629,10.97888,78.636864,11425,262,354
1539287635,10.98587,78.635307,11625,265,344
1539287641,10.99292,78.632706,11800,269,338
1539287651,11.003879,78.628189,12150,271,337
1539287658,11.014435,78.623894,12550,271,338
1539287693,11.054398,78.608078,13800,276,338
1539287722,11.090978,78.593346,14025,281,337
1539287756,11.133408,78.576157,14500,306,338
1539287789,11.179596,78.557503,14925,342,338
